source_code;target_table;data_type;canonical_metric;available_years
C16_F15P_CS2;composition;NUM;pop_15_ans_ou_plus_femmes_artisans_comm_chefs_entr_compl;2016
C16_F15P_CS3;composition;NUM;pop_15_ans_ou_plus_femmes_cadres_prof_intel_sup_compl;2016
C16_F15P_CS4;composition;NUM;pop_15_ans_ou_plus_femmes_prof_intermediaires_compl;2016
C16_F15P_CS5;composition;NUM;pop_15_ans_ou_plus_femmes_employes_compl;2016
C16_F15P_CS6;composition;NUM;pop_15_ans_ou_plus_femmes_ouvriers_compl;2016
C16_FAM;composition;NUM;familles_compl;2016
C16_FAMMONO;composition;NUM;fam_monoparentales_compl;2016
C16_FMONO;composition;NUM;fam_mono_femmes_avec_enfant_s_compl;2016
C16_H15P;composition;NUM;pop_15_ans_ou_plus_hommes_compl;2016
C16_H15P_CS1;composition;NUM;pop_15_ans_ou_plus_hommes_agriculteurs_exploitants_compl;2016
C16_H15P_CS2;composition;NUM;pop_15_ans_ou_plus_hommes_artisans_comm_chefs_entr_compl;2016
C16_H15P_CS3;composition;NUM;pop_15_ans_ou_plus_hommes_cadres_prof_intel_sup_compl;2016
C16_H15P_CS4;composition;NUM;pop_15_ans_ou_plus_hommes_prof_intermediaires_compl;2016
C16_H15P_CS5;composition;NUM;pop_15_ans_ou_plus_hommes_employes_compl;2016
C16_H15P_CS6;composition;NUM;pop_15_ans_ou_plus_hommes_ouvriers_compl;2016
C16_HMONO;composition;NUM;fam_mono_hommes_avec_enfant_s_compl;2016
C16_INDUSLT_F;composition;NUM;emplois_femmes_au_lt_industrie_compl;2016
C16_INDUSLT_FNSAL;composition;NUM;emplois_non_sal_femmes_au_lt_industrie_compl;2016
C16_INDUSLT_FSAL;composition;NUM;emplois_salaries_femmes_au_lt_industrie_compl;2016
C16_INDUSLT_NSAL;composition;NUM;emplois_non_salaries_au_lt_industrie_compl;2016
C16_INDUSLT_SAL;composition;NUM;emplois_salaries_au_lt_industrie_compl;2016
C16_MEN;composition;NUM;menages_compl;2016
C16_MENCOUPAENF;composition;NUM;men_fam_princ_couple_avec_enfant_s_compl;2016
C16_MENCOUPSENF;composition;NUM;men_fam_princ_couple_sans_enfant_compl;2016
C16_MENFAM;composition;NUM;menages_avec_famille_s_compl;2016
C16_MENFAMMONO;composition;NUM;men_fam_princ_famille_mono_compl;2016
C16_MENFSEUL;composition;NUM;menages_femmes_seules_compl;2016
C16_MENHSEUL;composition;NUM;menages_hommes_seuls_compl;2016
C16_MENPSEUL;composition;NUM;menages_1_personne_compl;2016
C16_MENSFAM;composition;NUM;menages_autres_sans_famille_compl;2016
C16_MEN_CS1;composition;NUM;menages_pers_ref_agri_expl_compl;2016
C16_MEN_CS2;composition;NUM;menages_pers_ref_art_comm_chefs_entr_compl;2016
C16_MEN_CS3;composition;NUM;menages_pers_ref_cadres_prof_int_sup_compl;2016
C16_MEN_CS4;composition;NUM;menages_pers_ref_prof_intermediaire_compl;2016
C16_MEN_CS5;composition;NUM;menages_pers_ref_employe_compl;2016
C16_MEN_CS6;composition;NUM;menages_pers_ref_ouvrier_compl;2016
C16_NE24F0;composition;NUM;fam_0_enfant_moins_25_ans_compl;2016
C16_NE24F1;composition;NUM;fam_1_enfant_moins_25_ans_compl;2016
C16_NE24F2;composition;NUM;fam_2_enfants_moins_25_ans_compl;2016
C16_NE24F3;composition;NUM;fam_3_enfants_moins_25_ans_compl;2016
C16_NE24F4P;composition;NUM;fam_4_enfants_ou_plus_moins_25_ans_compl;2016
C16_PMEN;composition;NUM;pop_menages_compl;2016
C16_PMEN_CS1;composition;NUM;pop_men_pers_ref_agri_expl_compl;2016
C16_PMEN_CS2;composition;NUM;pop_men_pers_ref_art_com_chef_ent_compl;2016
C16_PMEN_CS3;composition;NUM;pop_men_pers_ref_cadres_prof_int_sup_compl;2016
C16_PMEN_CS4;composition;NUM;pop_men_pers_ref_prof_intermediaire_compl;2016
C16_PMEN_CS5;composition;NUM;pop_men_pers_ref_employe_compl;2016
C16_PMEN_CS6;composition;NUM;pop_men_pers_ref_ouvrier_compl;2016
C16_PMEN_MENCOUPAENF;composition;NUM;pop_men_fam_princ_couple_avec_enfant_s_compl;2016
C16_PMEN_MENCOUPSENF;composition;NUM;pop_men_fam_princ_couple_sans_enfant_compl;2016
C16_PMEN_MENFAM;composition;NUM;pop_men_avec_famille_s_compl;2016
C16_PMEN_MENFAMMONO;composition;NUM;pop_men_fam_princ_famille_mono_compl;2016
C16_PMEN_MENFSEUL;composition;NUM;pop_men_femmes_seules_compl;2016
C16_PMEN_MENHSEUL;composition;NUM;pop_men_hommes_seuls_compl;2016
C16_PMEN_MENPSEUL;composition;NUM;pop_men_personnes_seules_compl;2016
C16_PMEN_MENSFAM;composition;NUM;pop_men_autres_sans_famille_compl;2016
C16_POP1524;composition;NUM;pop_15_24_ans_compl;2016
C16_POP1524_CS1;composition;NUM;pop_15_24_ans_agriculteurs_exploitants_compl;2016
C16_POP1524_CS2;composition;NUM;pop_15_24_ans_artisans_comm_chefs_entr_compl;2016
C16_POP1524_CS3;composition;NUM;pop_15_24_ans_cadres_prof_intel_sup_compl;2016
C16_POP1524_CS4;composition;NUM;pop_15_24_ans_prof_intermediaires_compl;2016
C16_POP1524_CS5;composition;NUM;pop_15_24_ans_employes_compl;2016
C16_POP1524_CS6;composition;NUM;pop_15_24_ans_ouvriers_compl;2016
C16_POP15P;composition;NUM;pop_15_ans_ou_plus_compl;2016
C16_POP15P_CS1;composition;NUM;pop_15_ans_ou_plus_agriculteurs_exploitants_compl;2016
C16_POP15P_CS2;composition;NUM;pop_15_ans_ou_plus_artisans_comm_chefs_entr_compl;2016
C16_POP15P_CS3;composition;NUM;pop_15_ans_ou_plus_cadres_prof_intel_sup_compl;2016
C16_POP15P_CS4;composition;NUM;pop_15_ans_ou_plus_prof_intermediaires_compl;2016
C16_POP15P_CS5;composition;NUM;pop_15_ans_ou_plus_employes_compl;2016
C16_POP15P_CS6;composition;NUM;pop_15_ans_ou_plus_ouvriers_compl;2016
C16_POP2554;composition;NUM;pop_25_54_ans_compl;2016
C16_POP2554_CS1;composition;NUM;pop_25_54_ans_agriculteurs_exploitants_compl;2016
C16_POP2554_CS2;composition;NUM;pop_25_54_ans_artisans_comm_chefs_entr_compl;2016
C16_POP2554_CS3;composition;NUM;pop_25_54_ans_cadres_prof_intel_sup_compl;2016
C16_POP2554_CS4;composition;NUM;pop_25_54_ans_prof_intermediaires_compl;2016
C16_POP2554_CS5;composition;NUM;pop_25_54_ans_employes_compl;2016
C16_POP2554_CS6;composition;NUM;pop_25_54_ans_ouvriers_compl;2016
C16_POP55P;composition;NUM;pop_55_ans_ou_plus_compl;2016
C16_POP55P_CS1;composition;NUM;pop_55_ans_ou_plus_agriculteurs_exploitants_compl;2016
C16_POP55P_CS2;composition;NUM;pop_55_ans_ou_plus_artisans_comm_chefs_entr_compl;2016
C16_POP55P_CS3;composition;NUM;pop_55_ans_ou_plus_cadres_prof_intel_sup_compl;2016
C16_POP55P_CS4;composition;NUM;pop_55_ans_ou_plus_prof_intermediaires_compl;2016
C16_POP55P_CS5;composition;NUM;pop_55_ans_ou_plus_employes_compl;2016
C16_POP55P_CS6;composition;NUM;pop_55_ans_ou_plus_ouvriers_compl;2016
C16_RP_NORME;composition;NUM;res_princ_occupation_norme;2016
C16_RP_SOUSOCC_ACC;composition;NUM;res_princ_sous_occupation_accentuee;2016
C16_RP_SOUSOCC_MOD;composition;NUM;res_princ_sous_occupation_moderee;2016
C16_RP_SOUSOCC_TACC;composition;NUM;res_princ_sous_occupation_tres_accentuee;2016
C16_RP_SUROCC_ACC;composition;NUM;res_princ_suroccupation_accentuee;2016
C16_RP_SUROCC_MOD;composition;NUM;res_princ_suroccupation_moderee;2016
C22_ACT1564;composition;NUM;actifs_15_64_ans_compl;2022
C22_ACT1564_STAT_GSEC11_21;composition;NUM;actifs_15_64_ans_agriculteurs_exploitants_compl;2022
C22_ACT1564_STAT_GSEC12_22;composition;NUM;actifs_15_64_ans_artisans_comm_chefs_entr_compl;2022
C22_ACT1564_STAT_GSEC13_23;composition;NUM;actifs_15_64_ans_cadres_prof_intel_sup_compl;2022
